latitude,longitude,accuracy,speed,bearing,kf_latitude,kf_longitude,kf_speed_lat,kf_speed_long,kf_loc_covariance_long,kf_vel_covariance_long,kf_speed_total,scan_id_label
42.65109813,-71.32324632,5,8.36,47.70000076,42.6510449885112,-71.3233529155022,5.10876092362938,7.98393906292037,1.79432953554632,0.218679571090444,9.47854003184184,3
42.65114003,-71.32317193,4,7.88,50.20000076,42.6510941186211,-71.323270661333,5.37033125642102,8.54657271230582,1.77098594968541,0.218756375168522,10.093778426854,3
42.6511884,-71.32309394,6,8.04,49.29999924,42.6511420003009,-71.3231877055134,5.36900633611364,8.5439424107582,1.60976029667826,0.210000087946794,10.0908463944102,3
42.65125043,-71.32301983,8,8.32,46.59999847,42.6511901458403,-71.3231079127431,5.40265860234177,8.67901666009651,1.75981510533411,0.222997889048859,10.2232113428066,3
42.6512498,-71.32291242,6,8.03,63.59999847,42.6512420747434,-71.3230288928298,5.45444409743157,8.81164770974713,2.0449064879754,0.23916636358927,10.3632087585216,3
42.65127304,-71.32280293,7,8.64,67.40000153,42.6512779909048,-71.3229403449124,5.28872709754285,8.9164299388858,2.06445425858633,0.234218606645583,10.3669357655646,3
42.65133454,-71.32271512,8,8.99,62.70000076,42.6513108195074,-71.3228457251007,4.99964938719139,9.19716989238194,2.17599123472302,0.238080413404158,10.4682581179574,3
42.65133801,-71.32260683,7,9.16,77.5,42.6513512563023,-71.322751820995,4.87066066842089,9.41914050025493,2.34241435994578,0.244966061847426,10.6039399805188,3
42.6513292,-71.32248337,6,9.71,84.5,42.6513785412624,-71.3226514930407,4.44388564166582,9.58008228476781,2.34544980260499,0.242309090125607,10.5605916585732,3
42.65134332,-71.32237357,6,10.08,87.30000305,42.6513890346244,-71.3225409082784,4.01754435526083,9.85945615181702,2.20959821578252,0.234805736235585,10.6465740149632,3
42.65134397,-71.32224307,6,10.39,90.59999847,42.651400073685,-71.322430385641,3.59337403361058,10.0456847582418,2.12637523847398,0.232843962694307,10.6690261602172,3
42.65132263,-71.32208235,7,11.2,93.59999847,42.6514061009631,-71.3223129197297,3.14721223984936,10.3931403049804,2.07882745132164,0.232896757756279,10.8592039432763,3
42.65132841,-71.32195223,8,10.95,91.30000305,42.6514044655446,-71.3221834587607,2.64180541483591,10.9820342482342,2.16490829639522,0.239505789020385,11.295318148651,3
42.6512502,-71.32184423,9,11.02,104.5999985,42.6514037058446,-71.3220523293087,2.2871639804525,11.5567449008546,2.32544687628959,0.247580223266991,11.7808943538642,3
42.6511988,-71.32168058,9,11.65,107.9000015,42.6513797277268,-71.3219266722246,1.38636053933991,11.917442158626,2.52938377974879,0.255485049095803,11.9978090978827,3
